link,Name,Brand,fl_oz,calories,Caffeine,mg/floz,Type,pic_link
/caffeine-content/28-energy-drink-black-white,28 Black Energy Drink,other,8.46,125,80,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/28-energy-drink-black-white.jpg
/caffeine-content/3-caffeine-water,3 Water ,other,16.9,0,50,3,Water,https://www.caffeineinformer.com/wp-content/caffeine/3-caffeine-water.jpg
/caffeine-content/3d-energy-drink,3D Energy Drink,other,16,15,200,12.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/3d-energy-drink.jpg
/caffeine-content/4-purpose,4 Purpose Energy Drink,other,8.46,70,70,8.3,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/4-purpose.jpg
/caffeine-content/4-c-energy-rush,4C Energy Drink Mix,other,16.9,15,170,10.1,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/4-c-energy-rush.jpg
/caffeine-content/5-hour-energy,5 Hour Energy,other,1.93,4,200,103.6,Energy Shot,https://www.caffeineinformer.com/wp-content/caffeine/5-hour-energy.jpg
/caffeine-content/5-hour-extra-strength,5 Hour Energy Extra Strength,other,1.93,0,230,119.2,Energy Shot,https://www.caffeineinformer.com/wp-content/caffeine/5-hour-extra-strength.jpg
/caffeine-content/7-eleven-brewed-coffee,7 Eleven Brewed Coffee,other,16,5,280,17.5,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/7-eleven-brewed-coffee.jpg
/caffeine-content/7-eleven-energy-shot,7-Eleven Energy Shot,other,2,0,260,130,Energy Shot,https://www.caffeineinformer.com/wp-content/caffeine/7-eleven-energy-shot.jpg
/caffeine-content/7-up,7-Up,other,12,140,0,0,Soda,https://www.caffeineinformer.com/wp-content/caffeine/7-up.jpg
/caffeine-content/adrenaline-shoc-energy-drink,A Shoc,other,16,10,250,15.6,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/adrenaline-shoc-energy-drink.jpg
/caffeine-content/a-w-cream-soda,A&amp;W Cream Soda,other,12,170,0,0,Soda,https://www.caffeineinformer.com/wp-content/caffeine/a-w-cream-soda.jpg
/caffeine-content/aw-root-beer,A&W Root Beer,A&W,12,170,0,0,Soda,https://www.caffeineinformer.com/wp-content/caffeine/aw-root-beer.jpg
/caffeine-content/diet-a-w-cream-soda,A&W Zero Sugar Cream Soda,A&W,12,0,0,0,Soda,https://www.caffeineinformer.com/wp-content/caffeine/diet-a-w-cream-soda.jpg
/caffeine-content/diet-turbo-punch,ABB Turbo Tea Zero,other,18,0,120,6.7,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/diet-turbo-punch.jpg
/caffeine-content/accelerator,Accelerator,other,12,10,150,12.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/accelerator.jpg
/caffeine-content/slam-energy-drink,Advocare Slam Energy Shot,other,2,10,120,60,Energy Shot,https://www.caffeineinformer.com/wp-content/caffeine/slam-energy-drink.jpg
/caffeine-content/advocare-slim,Advocare Slim,other,8,0,120,15,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/advocare-slim.jpg
/caffeine-content/afri-cola,Afri Cola,other,11.16,139,83,7.4,Soda,https://www.caffeineinformer.com/wp-content/caffeine/afri-cola.jpg
/caffeine-content/aha-sparkling-water,AHA Sparkling Water,other,12,0,30,2.5,Water,https://www.caffeineinformer.com/wp-content/caffeine/aha-sparkling-water.jpg
/caffeine-content/alani-nu,Alani Nu Energy Drink,other,12,10,200,16.7,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/alani-nu.jpg
/caffeine-content/ale-8-1,Ale 8 1,other,12,120,37,3.1,Soda,https://www.caffeineinformer.com/wp-content/caffeine/ale-8-1.jpg
/caffeine-content/all-in,ALL IN Energy Drink,other,12,25,75,6.2,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/all-in.jpg
/caffeine-content/alpine-start,Alpine Start Instant Coffee,other,8,0,120,15,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/alpine-start.jpg
/caffeine-content/alsa-energy,Alsa Energy Drink Mix,other,16,30,100,6.2,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/alsa-energy.jpg
/caffeine-content/caffe-americano,Americano Coffee,other,12,5,154,12.8,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/caffe-americano.jpg
/caffeine-content/amino-energy-drink,AMIN.O. Energy Drink,other,12,5,100,8.3,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/amino-energy-drink.jpg
/caffeine-content/ripped-force-energy-drink,Amino Force Energy Drink,other,22,0,200,9.1,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/ripped-force-energy-drink.jpg
/caffeine-content/arbonne-energy-drink,Arbonne Energy Fizz Stck,other,8,15,55,6.9,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/arbonne-energy-drink.jpg
/caffeine-content/jamocha-shake,Arby's Jamocha Shake,other,16,830,12,0.7,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/jamocha-shake.jpg
/caffeine-content/arnold-palmer-half-and-half,Arizona Arnold Palmer Half and Half,other,16.9,180,15,0.9,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/arnold-palmer-half-and-half.jpg
/caffeine-content/arizona-caution-energy-drink,Arizona Energy Drink Rx,other,11.5,130,127,11,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/arizona-caution-energy-drink.jpg
/caffeine-content/arizona-iced-tea,Arizona Iced Tea,other,16,190,30,1.9,Tea,https://www.caffeineinformer.com/wp-content/caffeine/arizona-iced-tea.jpg
/caffeine-content/arti-sparkling-water,Arti Sparkling Water,other,12,0,120,10,Water,https://www.caffeineinformer.com/wp-content/caffeine/arti-sparkling-water.jpg
/caffeine-content/axio,AXIO Energy Drink Mix,other,12,0,100,8.3,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/axio.jpg
/caffeine-content/bai-drink,Bai Antioxidant Infusion,other,18,10,55,3.1,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bai-drink.jpg
/caffeine-content/bai-boost,Bai Boost,other,11.47,10,110,9.6,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bai-boost.jpg
/caffeine-content/balance-active-shot,Balance Active Shot,other,2,80,100,50,Energy Shot,https://www.caffeineinformer.com/wp-content/caffeine/balance-active-shot.jpg
/caffeine-content/balance-energy,Balance Energy Shot,other,2,77,150,75,Energy Shot,https://www.caffeineinformer.com/wp-content/caffeine/balance-energy.jpg
/caffeine-content/bang-energy-drink,Bang Energy,other,16,0,300,18.8,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bang-energy-drink.jpg
/caffeine-content/bang-keto-coffee,Bang Keto Coffee,other,16,130,300,18.8,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bang-keto-coffee.jpg
/caffeine-content/bang-natural,Bang Natural,other,16,0,250,15.6,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bang-natural.jpg
/caffeine-content/bang-shot,Bang Shot,other,3,0,300,100,Energy Shot,https://www.caffeineinformer.com/wp-content/caffeine/bang-shot.jpg
/caffeine-content/bang-tea,Bang Sweet Tea,other,16,0,300,18.8,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/bang-tea.jpg
/caffeine-content/barista-bros,Barista Bros Iced Coffee,other,16.91,204,140,8.3,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/barista-bros.jpg
/caffeine-content/barqs-red-creme-soda,Barqs Red Creme Soda,other,12,170,0,0,Soda,https://www.caffeineinformer.com/wp-content/caffeine/barqs-red-creme-soda.jpg
/caffeine-content/barqs-root-beer,Barqs Root Beer,other,12,160,22,1.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/barqs-root-beer.jpg
/caffeine-content/baskin-robbins-cappuccino-blast,Baskin Robbins Cappuccino Blast,other,24,470,234,9.8,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/baskin-robbins-cappuccino-blast.jpg
/caffeine-content/bawls,Bawls,other,16,190,102,6.4,Soda,https://www.caffeineinformer.com/wp-content/caffeine/bawls.jpg
/caffeine-content/be-beyond-energy,BE Beyond Energy Drink,other,12,15,160,13.3,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/be-beyond-energy.jpg
/caffeine-content/beaver-buzz-energy-drink,Beaver Buzz Energy Drink,other,16,240,178,11.1,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/beaver-buzz-energy-drink.jpg
/caffeine-content/beebad-energy-drink,BEEBAD Energy Drink,other,8.46,110,80,9.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/beebad-energy-drink.jpg
/caffeine-content/berocca,Berocca,other,8,5,90,11.2,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/berocca.jpg
/caffeine-content/berzerk,Berzerk Energy Drink Mix,other,16,5,200,12.5,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/berzerk.jpg
/caffeine-content/best-choice-energy-drink-mix,Best Choice Strawberry Energy Drink Mix,other,8,5,120,15,Energy Drink,https://www.caffeineinformer.com/wp-content/caffeine/best-choice-energy-drink-mix.jpg
/caffeine-content/big-red-soda,Big Red Soda,other,12,150,34,2.8,Soda,https://www.caffeineinformer.com/wp-content/caffeine/big-red-soda.jpg
/caffeine-content/big-train-java-chip-ice-coffee,Big Train Java Chip Ice Coffee,other,12,410,49,4.1,Coffee,https://www.caffeineinformer.com/wp-content/caffeine/big-train-java-chip-ice-coffee.jpg
